Date,Close
6/29/2010 16:00:00,4.78
6/30/2010 16:00:00,4.77
7/1/2010 16:00:00,4.39
7/2/2010 16:00:00,3.84
7/6/2010 16:00:00,3.22
7/7/2010 16:00:00,3.16
7/8/2010 16:00:00,3.49
7/9/2010 16:00:00,3.48
7/12/2010 16:00:00,3.41
7/13/2010 16:00:00,3.63
7/14/2010 16:00:00,3.97
7/15/2010 16:00:00,3.98
7/16/2010 16:00:00,4.13
7/19/2010 16:00:00,4.38
7/20/2010 16:00:00,4.06
7/21/2010 16:00:00,4.04
7/22/2010 16:00:00,4.2
7/23/2010 16:00:00,4.26
7/26/2010 16:00:00,4.19
7/27/2010 16:00:00,4.11
7/28/2010 16:00:00,4.14
7/29/2010 16:00:00,4.07
7/30/2010 16:00:00,3.99
8/2/2010 16:00:00,4.18
8/3/2010 16:00:00,4.39
8/4/2010 16:00:00,4.25
8/5/2010 16:00:00,4.09
8/6/2010 16:00:00,3.92
8/9/2010 16:00:00,3.92
8/10/2010 16:00:00,3.81
8/11/2010 16:00:00,3.58
8/12/2010 16:00:00,3.52
8/13/2010 16:00:00,3.66
8/16/2010 16:00:00,3.76
8/17/2010 16:00:00,3.83
8/18/2010 16:00:00,3.75
8/19/2010 16:00:00,3.76
8/20/2010 16:00:00,3.82
8/23/2010 16:00:00,4.03
8/24/2010 16:00:00,3.84
8/25/2010 16:00:00,3.98
8/26/2010 16:00:00,3.95
8/27/2010 16:00:00,3.94
8/30/2010 16:00:00,3.97
8/31/2010 16:00:00,3.9
9/1/2010 16:00:00,4.09
9/2/2010 16:00:00,4.21
9/3/2010 16:00:00,4.21
9/7/2010 16:00:00,4.11
9/8/2010 16:00:00,4.18
9/9/2010 16:00:00,4.14
9/10/2010 16:00:00,4.03
9/13/2010 16:00:00,4.14
9/14/2010 16:00:00,4.22
9/15/2010 16:00:00,4.4
9/16/2010 16:00:00,4.19
9/17/2010 16:00:00,4.05
9/20/2010 16:00:00,4.21
9/21/2010 16:00:00,4.15
9/22/2010 16:00:00,3.97
9/23/2010 16:00:00,3.91
9/24/2010 16:00:00,4.02
9/27/2010 16:00:00,4.11
9/28/2010 16:00:00,4.28
9/29/2010 16:00:00,4.4
9/30/2010 16:00:00,4.08
10/1/2010 16:00:00,4.12
10/4/2010 16:00:00,4.2
10/5/2010 16:00:00,4.22
10/6/2010 16:00:00,4.08
10/7/2010 16:00:00,4.09
10/8/2010 16:00:00,4.09
10/11/2010 16:00:00,4.05
10/12/2010 16:00:00,4.05
10/13/2010 16:00:00,4.11
10/14/2010 16:00:00,4.15
10/15/2010 16:00:00,4.11
10/18/2010 16:00:00,4.05
10/19/2010 16:00:00,4.01
10/20/2010 16:00:00,4.13
10/21/2010 16:00:00,4.15
10/22/2010 16:00:00,4.14
10/25/2010 16:00:00,4.17
10/26/2010 16:00:00,4.27
10/27/2010 16:00:00,4.2
10/28/2010 16:00:00,4.24
10/29/2010 16:00:00,4.37
11/1/2010 16:00:00,4.28
11/2/2010 16:00:00,4.25
11/3/2010 16:00:00,4.35
11/4/2010 16:00:00,4.98
11/5/2010 16:00:00,4.89
11/8/2010 16:00:00,5
11/9/2010 16:00:00,4.93
11/10/2010 16:00:00,5.87
11/11/2010 16:00:00,5.61
11/12/2010 16:00:00,5.97
11/15/2010 16:00:00,6.16
11/16/2010 16:00:00,5.93
11/17/2010 16:00:00,5.9
11/18/2010 16:00:00,5.98
11/19/2010 16:00:00,6.2
11/22/2010 16:00:00,6.68
11/23/2010 16:00:00,6.91
11/24/2010 16:00:00,7.09
11/26/2010 16:00:00,7.06
11/29/2010 16:00:00,6.87
11/30/2010 16:00:00,7.07
12/1/2010 16:00:00,6.87
12/2/2010 16:00:00,6.47
12/3/2010 16:00:00,6.3
12/6/2010 16:00:00,6.06
12/7/2010 16:00:00,6.31
12/8/2010 16:00:00,6.47
12/9/2010 16:00:00,6.41
12/10/2010 16:00:00,6.3
12/13/2010 16:00:00,6.11
12/14/2010 16:00:00,5.71
12/15/2010 16:00:00,5.92
12/16/2010 16:00:00,6.16
12/17/2010 16:00:00,6.27
12/20/2010 16:00:00,6.34
12/21/2010 16:00:00,6.45
12/22/2010 16:00:00,6.53
12/23/2010 16:00:00,6.02
12/27/2010 16:00:00,5.11
12/28/2010 16:00:00,5.28
12/29/2010 16:00:00,5.55
12/30/2010 16:00:00,5.3
12/31/2010 16:00:00,5.33
1/3/2011 16:00:00,5.32
1/4/2011 16:00:00,5.33
1/5/2011 16:00:00,5.37
1/6/2011 16:00:00,5.58
1/7/2011 16:00:00,5.65
1/10/2011 16:00:00,5.69
1/11/2011 16:00:00,5.39
1/12/2011 16:00:00,5.39
1/13/2011 16:00:00,5.24
1/14/2011 16:00:00,5.15
1/18/2011 16:00:00,5.13
1/19/2011 16:00:00,4.81
1/20/2011 16:00:00,4.52
1/21/2011 16:00:00,4.61
1/24/2011 16:00:00,4.9
1/25/2011 16:00:00,4.94
1/26/2011 16:00:00,4.95
1/27/2011 16:00:00,4.98
1/28/2011 16:00:00,4.8
1/31/2011 16:00:00,4.82
2/1/2011 16:00:00,4.78
2/2/2011 16:00:00,4.79
2/3/2011 16:00:00,4.73
2/4/2011 16:00:00,4.69
2/7/2011 16:00:00,4.61
2/8/2011 16:00:00,4.9
2/9/2011 16:00:00,4.64
2/10/2011 16:00:00,4.64
2/11/2011 16:00:00,4.65
2/14/2011 16:00:00,4.62
2/15/2011 16:00:00,4.57
2/16/2011 16:00:00,4.95
2/17/2011 16:00:00,4.72
2/18/2011 16:00:00,4.64
2/22/2011 16:00:00,4.37
2/23/2011 16:00:00,4.37
2/24/2011 16:00:00,4.51
2/25/2011 16:00:00,4.72
2/28/2011 16:00:00,4.78
3/1/2011 16:00:00,4.79
3/2/2011 16:00:00,4.8
3/3/2011 16:00:00,4.87
3/4/2011 16:00:00,4.99
3/7/2011 16:00:00,4.99
3/8/2011 16:00:00,4.93
3/9/2011 16:00:00,4.94
3/10/2011 16:00:00,4.8
3/11/2011 16:00:00,4.81
3/14/2011 16:00:00,4.65
3/15/2011 16:00:00,4.59
3/16/2011 16:00:00,4.56
3/17/2011 16:00:00,4.56
3/18/2011 16:00:00,4.59
3/21/2011 16:00:00,4.55
3/22/2011 16:00:00,4.44
3/23/2011 16:00:00,4.44
3/24/2011 16:00:00,4.47
3/25/2011 16:00:00,4.55
3/28/2011 16:00:00,4.65
3/29/2011 16:00:00,4.78
3/30/2011 16:00:00,4.74
3/31/2011 16:00:00,5.55
4/1/2011 16:00:00,5.33
4/4/2011 16:00:00,5.17
4/5/2011 16:00:00,5.34
4/6/2011 16:00:00,5.3
4/7/2011 16:00:00,5.45
4/8/2011 16:00:00,5.3
4/11/2011 16:00:00,5.05
4/12/2011 16:00:00,4.93
4/13/2011 16:00:00,4.99
4/14/2011 16:00:00,5.03
4/15/2011 16:00:00,5.12
4/18/2011 16:00:00,5.01
4/19/2011 16:00:00,5.03
4/20/2011 16:00:00,5.15
4/21/2011 16:00:00,5.35
4/25/2011 16:00:00,5.28
4/26/2011 16:00:00,5.39
4/27/2011 16:00:00,5.42
4/28/2011 16:00:00,5.53
4/29/2011 16:00:00,5.52
5/2/2011 16:00:00,5.49
5/3/2011 16:00:00,5.37
5/4/2011 16:00:00,5.34
5/5/2011 16:00:00,5.29
5/6/2011 16:00:00,5.42
5/9/2011 16:00:00,5.58
5/10/2011 16:00:00,5.67
5/11/2011 16:00:00,5.41
5/12/2011 16:00:00,5.53
5/13/2011 16:00:00,5.51
5/16/2011 16:00:00,5.32
5/17/2011 16:00:00,5.19
5/18/2011 16:00:00,5.27
5/19/2011 16:00:00,5.64
5/20/2011 16:00:00,5.59
5/23/2011 16:00:00,5.36
5/24/2011 16:00:00,5.34
5/25/2011 16:00:00,5.8
